img,benign,melanoma,keratosis
ISIC_0014633.jpg,False,False,True
ISIC_0014635.jpg,False,False,True
ISIC_0014637.jpg,False,True,False
ISIC_0014688.jpg,False,True,False
ISIC_0014712.jpg,False,True,False
ISIC_0014809.jpg,False,True,False
ISIC_0014829.jpg,False,True,False
ISIC_0014857.jpg,True,False,False
ISIC_0014931.jpg,False,True,False
ISIC_0014937.jpg,False,True,False
ISIC_0014945.jpg,False,True,False
ISIC_0014946.jpg,False,True,False
ISIC_0014979.jpg,False,False,True
ISIC_0014985.jpg,True,False,False
ISIC_0014989.jpg,False,True,False
ISIC_0015043.jpg,False,True,False
ISIC_0015062.jpg,False,True,False
ISIC_0015124.jpg,False,True,False
ISIC_0015144.jpg,False,True,False
ISIC_0015211.jpg,False,True,False
ISIC_0015243.jpg,False,True,False
ISIC_0015256.jpg,False,True,False
ISIC_0015313.jpg,False,True,False
ISIC_0015372.jpg,False,True,False
ISIC_0015401.jpg,False,True,False
ISIC_0015443.jpg,False,True,False
ISIC_0015445.jpg,False,False,True
ISIC_0015483.jpg,False,True,False
ISIC_0015496.jpg,False,True,False
ISIC_0015627.jpg,False,True,False
ISIC_0001769.jpg,True,False,False
ISIC_0001852.jpg,True,False,False
ISIC_0001871.jpg,False,True,False
ISIC_0003462.jpg,False,True,False
ISIC_0003539.jpg,False,True,False
ISIC_0003582.jpg,False,True,False
ISIC_0003657.jpg,False,True,False
ISIC_0003805.jpg,False,False,True
ISIC_0004337.jpg,False,False,True
ISIC_0006651.jpg,False,True,False
ISIC_0006671.jpg,True,False,False
ISIC_0006815.jpg,True,False,False
ISIC_0006914.jpg,False,True,False
ISIC_0007141.jpg,False,True,False
ISIC_0007156.jpg,False,True,False
ISIC_0007235.jpg,False,True,False
ISIC_0007241.jpg,False,True,False
ISIC_0007332.jpg,False,True,False
ISIC_0007344.jpg,False,True,False
ISIC_0007528.jpg,True,False,False
ISIC_0007796.jpg,False,True,False
ISIC_0008025.jpg,False,True,False
ISIC_0008524.jpg,False,True,False
ISIC_0009995.jpg,False,True,False
ISIC_0010459.jpg,False,False,True
ISIC_0012099.jpg,False,True,False
ISIC_0012109.jpg,False,True,False
ISIC_0012126.jpg,False,True,False
ISIC_0012127.jpg,False,False,True
ISIC_0012143.jpg,False,False,True
ISIC_0012151.jpg,False,True,False
ISIC_0012159.jpg,False,False,True
ISIC_0012160.jpg,True,False,False
ISIC_0012191.jpg,False,True,False
ISIC_0012201.jpg,False,True,False
ISIC_0012204.jpg,False,False,True
ISIC_0012206.jpg,False,True,False
ISIC_0012210.jpg,True,False,False
ISIC_0012221.jpg,True,False,False
ISIC_0012222.jpg,False,True,False
ISIC_0012254.jpg,True,False,False
ISIC_0012256.jpg,True,False,False
ISIC_0012288.jpg,False,True,False
ISIC_0012306.jpg,True,False,False
ISIC_0012313.jpg,False,True,False
ISIC_0012316.jpg,False,True,False
ISIC_0012335.jpg,True,False,False
ISIC_0012380.jpg,False,False,True
ISIC_0012383.jpg,False,True,False
ISIC_0012400.jpg,False,True,False
ISIC_0012417.jpg,False,False,True
ISIC_0012434.jpg,False,True,False
ISIC_0012492.jpg,False,False,True
ISIC_0012513.jpg,False,False,True
ISIC_0012538.jpg,False,True,False
ISIC_0012547.jpg,False,False,True
ISIC_0012660.jpg,False,True,False
ISIC_0012684.jpg,False,True,False
ISIC_0012720.jpg,False,False,True
ISIC_0012746.jpg,True,False,False
