img,benign,melanoma,keratosis
ISIC_0012876.jpg,False,True,False
ISIC_0012927.jpg,False,True,False
ISIC_0012956.jpg,True,False,False
ISIC_0012959.jpg,False,False,True
ISIC_0012965.jpg,True,False,False
ISIC_0013010.jpg,True,False,False
ISIC_0013082.jpg,True,False,False
ISIC_0013104.jpg,False,True,False
ISIC_0013127.jpg,False,False,True
ISIC_0013128.jpg,False,True,False
ISIC_0013132.jpg,False,True,False
ISIC_0013188.jpg,True,False,False
ISIC_0013215.jpg,False,False,True
ISIC_0013232.jpg,False,True,False
ISIC_0013421.jpg,False,False,True
ISIC_0013491.jpg,False,True,False
ISIC_0013501.jpg,False,True,False
ISIC_0013518.jpg,False,False,True
ISIC_0013527.jpg,True,False,False
ISIC_0013549.jpg,False,True,False
ISIC_0013561.jpg,False,False,True
ISIC_0013562.jpg,False,False,True
ISIC_0013632.jpg,False,False,True
ISIC_0013637.jpg,False,False,True
ISIC_0013644.jpg,False,True,False
ISIC_0013651.jpg,False,True,False
ISIC_0013663.jpg,False,False,True
ISIC_0013702.jpg,False,False,True
ISIC_0013736.jpg,False,True,False
ISIC_0013793.jpg,False,False,True
ISIC_0013828.jpg,False,True,False
ISIC_0013863.jpg,False,True,False
ISIC_0013898.jpg,False,True,False
ISIC_0013945.jpg,True,False,False
ISIC_0014037.jpg,False,False,True
ISIC_0014038.jpg,False,False,True
ISIC_0014055.jpg,False,False,True
ISIC_0014139.jpg,False,False,True
ISIC_0014162.jpg,False,False,True
ISIC_0014178.jpg,False,True,False
ISIC_0014211.jpg,False,False,True
ISIC_0014212.jpg,False,False,True
ISIC_0014217.jpg,False,True,False
ISIC_0014302.jpg,False,True,False
ISIC_0014310.jpg,True,False,False
ISIC_0014382.jpg,False,False,True
ISIC_0014428.jpg,False,True,False
ISIC_0014558.jpg,False,True,False
ISIC_0014568.jpg,False,False,True
ISIC_0014572.jpg,False,True,False
ISIC_0014597.jpg,True,False,False
ISIC_0014601.jpg,False,False,True
ISIC_0014608.jpg,False,False,True
ISIC_0014610.jpg,False,True,False
ISIC_0014611.jpg,False,True,False
ISIC_0014616.jpg,True,False,False
ISIC_0014618.jpg,False,True,False
ISIC_0014620.jpg,False,False,True
ISIC_0014623.jpg,False,False,True
ISIC_0014624.jpg,False,True,False
ISIC_0014633.jpg,True,False,False
ISIC_0014635.jpg,True,False,False
ISIC_0014637.jpg,True,False,False
ISIC_0014688.jpg,False,True,False
ISIC_0014712.jpg,False,True,False
ISIC_0014809.jpg,False,True,False
ISIC_0014829.jpg,False,True,False
ISIC_0014857.jpg,False,False,True
ISIC_0014931.jpg,False,True,False
ISIC_0014937.jpg,False,False,True
ISIC_0014945.jpg,True,False,False
ISIC_0014946.jpg,False,True,False
ISIC_0014979.jpg,False,False,True
ISIC_0014985.jpg,False,False,True
ISIC_0014989.jpg,False,True,False
ISIC_0015043.jpg,False,True,False
ISIC_0015062.jpg,False,False,True
ISIC_0015124.jpg,False,True,False
ISIC_0015144.jpg,True,False,False
ISIC_0015211.jpg,False,True,False
ISIC_0015243.jpg,False,True,False
ISIC_0015256.jpg,False,True,False
ISIC_0015313.jpg,False,True,False
ISIC_0015372.jpg,True,False,False
ISIC_0015401.jpg,False,True,False
ISIC_0015443.jpg,False,False,True
ISIC_0015445.jpg,False,True,False
ISIC_0015483.jpg,False,False,True
ISIC_0015496.jpg,False,True,False
ISIC_0015627.jpg,True,False,False
