image_id,melanoma,asymmetry,asymmetry_gauss,area,perimeter,compactness,color_dist,color_sd,color_score
ISIC_0000000,0.0,0.03418241521997017,0.03193549239164633,125737.0,1787.0,0.4947933489482986,0.34714459980770457,0.16469089571183634,4.0
ISIC_0000001,0.0,0.03285862113445443,0.030198330865644003,18414.0,741.0,0.4214262531262415,0.142613590404844,0.06386447894445137,2.0
ISIC_0000002,1.0,0.01510866285013366,0.013658514732655848,81766.0,1700.0,0.355536975658717,0.31496626824880863,0.16058435223559395,3.0
ISIC_0000003,0.0,0.031307796408482566,0.029336563977033322,89814.0,1557.0,0.46556109143823704,0.2895483573912415,0.14595089845182063,3.0
ISIC_0000004,1.0,0.014604973362808481,0.013336301309032563,92823.0,1412.0,0.5850541591782402,0.25003828400335226,0.10386281141329584,1.0
ISIC_0000006,0.0,0.030541911751393296,0.02806923145154191,23918.0,878.0,0.38989322953160616,0.16941145790093487,0.07541419080622841,2.0
ISIC_0000007,0.0,0.010929175481103604,0.01015814537380609,23265.0,783.0,0.4768583555455507,0.13696707689999144,0.06585113120607723,2.0
ISIC_0000008,0.0,0.01976805470405994,0.018453036113710252,90065.0,1632.0,0.42493803817276515,0.3376357726733425,0.16266438529334867,3.0
ISIC_0000009,0.0,0.026905139092966143,0.024064182771695676,61395.0,1390.0,0.399312832601098,0.16084526186844858,0.07407491199165588,3.0
ISIC_0000010,0.0,0.02769093360494843,0.025885089695669744,21378.0,774.0,0.44843036775596146,0.1615165041694286,0.07402850905161378,1.0
ISIC_0000011,0.0,0.034321279182291865,0.03082851626586774,47888.0,1170.0,0.4396072437580773,0.2452922221913461,0.14047763227697938,2.0
ISIC_0000012,0.0,0.02137356004193253,0.020189662629757785,13145.0,594.0,0.4681635142835519,0.1088646870449143,0.05211555986792495,1.0
ISIC_0000013,1.0,0.06133873734866323,0.058283687972944406,66382.0,1342.0,0.46318572393584245,0.3105938613668687,0.14400969745753264,3.0
ISIC_0000014,0.0,0.012264028600459229,0.010980628671700712,74575.0,1568.0,0.381163239505445,0.10850114656290845,0.05217727153871373,3.0
ISIC_0000015,0.0,0.055749336134763364,0.05083297165434979,63681.0,1508.0,0.3518982082707463,0.2509008755954157,0.11378607227681808,3.0
ISIC_0000016,0.0,0.026244667002252198,0.0243003980447078,55534.0,1177.0,0.5037509686852887,0.22645329779847856,0.10278830884316133,3.0
ISIC_0000017,0.0,0.06332568075908228,0.058639540777314494,40906.0,1136.0,0.3983274309652849,0.1888782475853626,0.08814198032001093,3.0
ISIC_0000018,0.0,0.022686244765054042,0.020872274482695633,62684.0,1506.0,0.3473094675703959,0.14704677232661575,0.06598624481731159,3.0
ISIC_0000019,0.0,0.06670318163175233,0.061584996787068774,86566.0,1460.0,0.5103304741051867,0.26145980797614315,0.12193367989688908,3.0
ISIC_0000020,0.0,0.025221398705592042,0.022943512556179213,63447.0,1568.0,0.3242864774643241,0.2345274605783923,0.10625830652704644,3.0
ISIC_0000021,0.0,0.2471391141855331,0.2243412376401833,67364.0,1830.0,0.2527758338755088,0.11262764762351946,0.04843024090003758,2.0
ISIC_0000022,1.0,0.01849415229699538,0.016899573429647687,121236.0,1646.0,0.5623177613104003,0.243282721525633,0.10795825816080906,3.0
ISIC_0000023,0.0,0.08053869600126744,0.07535062751895752,47158.0,1145.0,0.45201647980164367,0.1331276123684814,0.06103711351284469,3.0
ISIC_0000024,0.0,0.02476103182563816,0.02306893269886242,89675.0,1464.0,0.5257739877472168,0.07863556298500332,0.03245036280649815,1.0
ISIC_0000025,0.0,0.09105945951382866,0.08185023007001649,51667.0,1669.0,0.23308291239434187,0.1034298980306109,0.047272442339042604,2.0
ISIC_0000026,1.0,0.054312319035395205,0.050828105096772505,143816.0,1880.0,0.5113301143828313,0.11342131765274771,0.05260173789992769,2.0
ISIC_0000027,0.0,0.014631314386187474,0.013197658028179196,50417.0,1321.0,0.3630623620099163,0.1242839577099418,0.06303901814486527,3.0
ISIC_0000028,0.0,0.017167585944234863,0.015701573409990035,63770.0,1453.0,0.3795727727940173,0.3052641219242542,0.14290265967506724,3.0
ISIC_0000029,1.0,0.021045366529230003,0.01965260052095652,103547.0,1786.0,0.40792890141095206,0.28010857901774044,0.1257788475070565,4.0
ISIC_0000030,1.0,0.019027229633337316,0.01738102120588729,134443.0,1789.0,0.5278704824952845,0.46448197814635633,0.2184150430481396,2.0
ISIC_0000031,1.0,0.044987955224154594,0.041651247300347014,87861.0,1488.0,0.4986549603585906,0.3202720378550465,0.14423143971338429,3.0
ISIC_0000032,0.0,0.01605326520760443,0.01455694974091003,88715.0,1450.0,0.5302380827837688,0.1326681836915342,0.05828365504242253,3.0
